Ańo;Indicador;Cod_Loc;Loc;Total.Si;Total.No;Porcentaje.Si;Porcentaje.No
2021;Disposición inadecuada de basura;01;Usaquén            ;13101,3;216400,3;0,1;0,9
2021;Disposición inadecuada de basura;10;Engativá                ;49038,7;245488,9;0,2;0,8
2021;Disposición inadecuada de basura;11;Suba               ;96985,7;345735,0;0,2;0,8
2021;Disposición inadecuada de basura;12;Barrios Unidos     ;10141,2;45418,6;0,2;0,8
2021;Disposición inadecuada de basura;13;Teusaquillo        ;5040,5;71851,1;0,1;0,9
2021;Disposición inadecuada de basura;14;Los Mártires       ;9941,5;23095,9;0,3;0,7
2021;Disposición inadecuada de basura;15;Antonio Narińo;6378,7;21658,1;0,2;0,8
2021;Disposición inadecuada de basura;16;Puente Aranda      ;14198,9;74940,7;0,2;0,8
2021;Disposición inadecuada de basura;17;La Candelaria         ;1587,7;6000,9;0,2;0,8
2021;Disposición inadecuada de basura;18;Rafael Uribe Uribe;34363,1;100831,6;0,3;0,7
2021;Disposición inadecuada de basura;19;Ciudad Bolívar                ;53513,8;153050,7;0,3;0,7
2021;Disposición inadecuada de basura;02;Chapinero          ;8637,5;69209,7;0,1;0,9
2021;Disposición inadecuada de basura;20;Sumapaz       ;0,0;1118,9;0,0;1,0
2021;Disposición inadecuada de basura;03;Santa Fe           ;9806,1;29069,9;0,3;0,7
2021;Disposición inadecuada de basura;04;San Cristóbal               ;32239,3;102760,2;0,2;0,8
2021;Disposición inadecuada de basura;05;Usme               ;53707,3;73365,5;0,4;0,6
2021;Disposición inadecuada de basura;06;Tunjuelito         ;24604,1;45714,4;0,3;0,7
2021;Disposición inadecuada de basura;07;Bosa               ;65188,8;167717,7;0,3;0,7
2021;Disposición inadecuada de basura;08;Kennedy            ;87480,3;275246,8;0,2;0,8
2021;Disposición inadecuada de basura;09;Fontibón           ;10414,3;135574,8;0,1;0,9
